timestamp	user.id	role	turn.number	anonymised	edited	responding.to	sequence	seq.type	focus	resource	assessment
2021-02-23 13:36:29	student009	student	1	hi	hi		1.0	opening			
2021-02-23 13:36:37	student009	student	2	sorry for being late	sorry for being late						
2021-02-23 13:37:55	teacher008	teacher	3	Hi <STUDENT>!	Hi <STUDENT>!	1.0					
2021-02-23 13:38:04	teacher008	teacher	4	No worries, all ok with you?	No worries, all ok with you?	2.0					
2021-02-23 13:38:15	student009	student	5	yeah	yeah						
2021-02-23 13:38:32	teacher008	teacher	6	Good! How are you? Is spring coming to Kyiv yet?	Good! How are you? Is spring coming to Kyiv yet?		2.0	topic opening			
2021-02-23 13:39:12	student009	student	7	I am fine, and yes spring is coming	I am fine, and yes spring is coming						
2021-02-23 13:39:32	student009	student	8	quite warmer now	a bit warmer now						
2021-02-23 13:39:56	teacher008	teacher	9	Nice, isn't it? It's warmer here too, and birds are singing!	Nice, isn't it? It's warmer here too, and birds are singing!						
2021-02-23 13:40:11	student009	student	10	and snow is turning in water	and snow is turning into water						
2021-02-23 13:40:22	student009	student	11	yes, they are!	yes, they are!	9.0					
2021-02-23 13:40:54	teacher008	teacher	12	Ha, yes, water and slush	Ha, yes, water and slush						
2021-02-23 13:41:23	teacher008	teacher	13	The snow that's started to melt is called slush, like a drink	The snow that's started to melt is called slush, like a drink			scaffolding	lexical resource		
2021-02-23 13:41:34	student009	student	14	my boots were wet yesterdau	my boots were wet yesterday	10.0					
2021-02-23 13:42:03	teacher008	teacher	15	Yes, Kyiv winters are hard on footwear, I remember that!	Yes, Kyiv winters are hard on footwear, I remember that!						
2021-02-23 13:43:58	teacher008	teacher	16	Are you about to have a school holiday soon? Or have you just had one? There is a holiday in February, right?	Are you about to have a school holiday soon? Or have you just had one? There is a holiday in February, right?		2a	topic development			
2021-02-23 13:58:50	student009	student	17	hi again	hi again		3.0	disruption			
2021-02-23 13:58:55	teacher008	teacher	18	Hi <STUDENT>!	Hi <STUDENT>!						
2021-02-23 13:59:23	student009	student	19	I am so sorry that I left, I was on my way home and my phone charge said goodbye	I am so sorry that I left, I was on my way home and my phone battery said goodbye						
2021-02-23 13:59:32	student009	student	20	now I am okay	now I am okay						
2021-02-23 13:59:46	teacher008	teacher	21	Oh no! Are you home now?	Oh no! Are you home now?						
2021-02-23 13:59:58	student009	student	22	and next holidays will be in the end of March	and the next holiday will be at the end of March	16.0					
2021-02-23 14:00:03	student009	student	23	yeah I am home	yeah I am home	21.0					
2021-02-23 14:00:54	teacher008	teacher	24	Ok, let's say for the future, if you're not home yet, just text me on Skype to say that you'll be late, ok? It doesn't sound safe to me to be chatting on the go / on public transport	Ok, let's say for the future, if you're not home yet, just text me on Skype to say that you'll be late, ok? It doesn't sound safe to me to be chatting on the go / on public transport						
2021-02-23 14:01:35	student009	student	25	I am okay, no problems	I am okay, no problem						
2021-02-23 14:01:50	student009	student	26	if something happens I will tell yo	if something happens I will tell you						
2021-02-23 14:02:13	teacher008	teacher	27	I know, but still, no chatting on the go, ok?	I know, but still, no chatting on the go, ok?						
2021-02-23 14:02:41	student009	student	28	okay	okay						
2021-02-23 14:02:55	teacher008	teacher	29	Cool!	Cool!						
2021-02-23 14:03:13	teacher008	teacher	30	Do you remember the word from earlier? When snow melts it turns into....	Do you remember the word from earlier? When snow melts it turns into....		4.0	eliciting	lexical resource		
2021-02-23 14:03:18	teacher008	teacher	31	before it becomes water	before it becomes water						
2021-02-23 14:03:41	student009	student	32	slush	slush						
2021-02-23 14:03:47	teacher008	teacher	33	Yes, well done :)	Yes, well done :)						
2021-02-23 14:03:53	teacher008	teacher	34	I don't like slush	I don't like slush						
2021-02-23 14:04:43	student009	student	35	my footwear is wet again	my footwear is wet again						
2021-02-23 14:05:02	student009	student	36	it is wet only because of the one same place	it is wet only because of the one same place						
2021-02-23 14:05:13	teacher008	teacher	37	Oh no! You probably don't like this weather either?	Oh no! You probably don't like this weather either?						
2021-02-23 14:05:19	student009	student	38	yeah	yeah						
2021-02-23 14:05:42	teacher008	teacher	39	I want to talk today about ways to agree	I want to talk today about ways to agree		5.0	presentation	grammatical resource		
2021-02-23 14:06:15	student009	student	40	but I don't really hate it because it is an atmosphere of spring	but I don't really hate it because it is an atmosphere of spring	38.0					
2021-02-23 14:06:18	student009	student	41	okay	okay	39.0					
2021-02-23 14:06:21	teacher008	teacher	42	In English, there are different ways to agree depending on whether the statement is affirmative (+) or negative (-)	In English, there are different ways to agree depending on whether the statement is affirmative (+) or negative (-)			presentation	grammatical resource		
2021-02-23 14:06:32	teacher008	teacher	43	Ah, yes, I know what you mean!	Ah, yes, I know what you mean!						
2021-02-23 14:06:51	teacher008	teacher	44	For example, A says,	For example, A says,			presentation	grammatical resource		
2021-02-23 14:07:31	teacher008	teacher	45	I love spring!' And B agrees, 'So do I!' or 'Me too'	I love spring!' And B agrees, 'So do I!' or 'Me too'			presentation	grammatical resource		
2021-02-23 14:07:41	teacher008	teacher	46	You probably know 'me too', don't you?	You probably know 'me too', don't you?						
2021-02-23 14:08:00	student009	student	47	i do	I do						
2021-02-23 14:08:24	teacher008	teacher	48	I love spring' is an affirmative statement (it hasn't got 'don't' in it)	I love spring' is an affirmative statement (it hasn't got 'don't' in it)			presentation	grammatical resource		
2021-02-23 14:09:44	teacher008	teacher	49	But if A says, 'I don't like slush', B agrees, 'Neither do I!' or 'Me neither!'	But if A says, 'I don't like slush', B agrees, 'Neither do I!' or 'Me neither!'			presentation	grammatical resource		
2021-02-23 14:10:02	teacher008	teacher	50	we can't use 'me too' to agree with a negative statement	we can't use 'me too' to agree with a negative statement			presentation	grammatical resource		
2021-02-23 14:10:27	teacher008	teacher	51	Have you heard 'me neither' before?	Have you heard 'me neither' before?						
2021-02-23 14:11:11	student009	student	52	yes	yes						
2021-02-23 14:11:21	teacher008	teacher	53	Ok, cool, it's familiar then!	Ok, cool, it's familiar then!						
2021-02-23 14:11:58	teacher008	teacher	54	As you've probably noticed, with 'So do I' and 'Neither do I' we use 'do', the auxiliary verb that works in the original sentence	As you've probably noticed, with 'So do I' and 'Neither do I' we use 'do', the auxiliary verb that works in the original sentence			presentation	grammatical resource		
2021-02-23 14:12:16	teacher008	teacher	55	And it changes depending on a sentence!	And it changes depending on a sentence!			presentation	grammatical resource		
2021-02-23 14:12:43	teacher008	teacher	56	I used to like lollipops.  -So did I!	I used to like lollipops.  -So did I!			presentation	grammatical resource		
2021-02-23 14:13:11	teacher008	teacher	57	I didn't go to this party. - Neither did I	I didn't go to this party. - Neither did I			presentation	grammatical resource		
2021-02-23 14:13:19	teacher008	teacher	58	See what happens with the verb?	See what happens with the verb?						
2021-02-23 14:13:37	student009	student	59	yes	yes						
2021-02-23 14:13:52	teacher008	teacher	60	Ok, can you guess the verb please?	Ok, can you guess the verb please?		6.0	exercise	grammatical resource		
2021-02-23 14:14:20	teacher008	teacher	61	I am at home right now. - So ___ I	I am at home right now. - So ___ I						
2021-02-23 14:14:42	student009	student	62	am	am						
2021-02-23 14:14:47	teacher008	teacher	63	Yes)	Yes)						
2021-02-23 14:15:01	teacher008	teacher	64	Fred is very funny. - So __ George	Fred is very funny. - So __ George		6a				
2021-02-23 14:16:00	student009	student	65	is?	is?						
2021-02-23 14:16:16	teacher008	teacher	66	Yes :) It's not only about 'I'	Yes :) It's not only about 'I'						
2021-02-23 14:16:46	teacher008	teacher	67	I have never been to South America. - Neither ____ I	I have never been to South America. - Neither ____ I		6b				
2021-02-23 14:17:32	student009	student	68	have	have						
2021-02-23 14:18:01	teacher008	teacher	69	Well done!	Well done!						
2021-02-23 14:18:56	teacher008	teacher	70	I'd love to go somewhere I've never been before!   - So ___ I	I'd love to go somewhere I've never been before!   - So ___ I		6c				
2021-02-23 14:20:00	student009	student	71	do	do						
2021-02-23 14:20:35	teacher008	teacher	72	Hmm, have another think. What's the auxiliary verb in 'I'd love to'?	Hmm, have another think. What's the auxiliary verb in 'I'd love to'?						
2021-02-23 14:20:56	student009	student	73	would?	would?						
2021-02-23 14:21:03	student009	student	74	will	will						
2021-02-23 14:21:08	teacher008	teacher	75	Yes, well done! So would I	Yes, well done! So would I	73.0					
2021-02-23 14:21:15	student009	student	76	yeah	yeah						
2021-02-23 14:21:18	student009	student	77	okay	okay						
2021-02-23 14:21:18	teacher008	teacher	78	I'd love to = I would love to	I'd love to = I would love to			scaffolding	grammatical resource		
